stations,Folsom & Colorado,15th & Pearl,11th Street & Pearl Street,13th & Spruce,UCAR Center Green,Library @ Arapahoe,26th @ Pearl,Municipal Building,UCAR Mitchell Lane,Broadway & Alpine,19th @ Boulder Creek,Twenty Ninth Street South,The Village,6th & Canyon,14th & Canyon,2880 Wilderness Place,North Boulder Recreation Center,Broadway & Euclid,Broadway & University,Broadway & Iris,33rd & Fisher,Twenty Ninth Street North,Broadway & Baseline,29th & Pearl,21st & Arapahoe,13th & College,38th & Arapahoe,30th & Glenwood,20th & Pearl,Folsom & Pearl,28th & Boulder Creek,13th & Arapahoe,27th Way & Broadway,48th & Arapahoe,31st & Pearl,Settlers' Park,630 30th St.,35th & Colorado,Gunbarrel North,28th & Mapleton
30th & Glenwood,2.4,2.1,2.4,2.4,0.9,3.3,1.3,3.1,1.4,2.1,2.5,1.6,1.7,3.6,2.3,0.8,1.6,2.9,3.2,1.9,1.4,1.2,2.9,0.9,2.1,3.3,1.8,0,1.9,1.4,1.9,3.0,3.3,2.3,0.9,4.3,2.4,2.7,5.8,0.9
20th & Pearl,1.3,0.5,0.9,0.7,2.3,1.4,0.6,1.1,2.7,0.9,0.6,1.0,0.9,1.7,0.5,1.8,1.4,1.2,1.3,1.7,1.4,0.9,2.0,0.7,0.6,1.6,1.8,1.7,0,0.5,1.3,1.1,2.2,2.3,1.0,2.3,2.4,2.1,7.0,1.1
Folsom & Pearl,1.0,0.7,1.1,1.1,1.9,1.9,0.3,1.7,2.4,1.2,1.1,0.7,0.6,2.2,0.9,1.5,1.7,1.5,1.8,2.0,1.1,0.6,1.7,0.4,0.7,2.0,1.5,1.4,0.5,0,1.0,1.6,1.9,2.0,0.7,2.9,2.1,1.8,6.7,0.7
28th & Boulder Creek,0.4,1.6,1.8,1.5,2.4,1.5,1.2,1.3,3.7,2.0,0.7,0.7,0.7,1.8,1.4,2.2,2.5,1.1,1.4,3.0,0.9,0.8,0.9,1.1,1.0,1.6,1.0,1.9,1.5,1.0,0,1.2,1.4,1.7,1.3,2.4,1.2,0.9,8.2,1.6
13th & Arapahoe,1.3,0.4,0.7,0.4,3.5,0.3,1.8,0.1,4.8,0.9,0.5,1.8,1.3,0.6,0.3,3.3,1.4,0.8,0.4,1.8,2.0,1.9,1.6,2.2,0.9,1.2,2.1,3.0,0.8,1.6,1.2,0,1.8,2.8,2.4,1.3,2.3,2.0,9.2,2.3
27th Way & Broadway,1.0,2.2,2.5,2.2,4.3,2.1,2.1,1.9,5.6,2.7,1.7,2.1,1.6,2.4,2.1,4.2,3.2,1.1,1.4,4.0,2.4,2.2,0.4,2.5,1.7,1.4,2.4,3.3,2.2,1.9,1.4,1.8,0,3.3,2.7,3.1,1.0,1.7,10.1,2.6
48th & Arapahoe,2.0,3.1,3.3,3.0,1.6,2.9,1.6,2.7,2.9,3.5,2.1,1.8,2.1,3.2,2.9,1.4,3.3,2.5,2.9,3.7,1.2,1.5,3.1,1.6,2.5,3.0,1.2,2.3,3.0,1.9,1.6,2.6,3.3,0,1.4,3.9,2.4,1.3,7.4,2.0
31st & Pearl,1.8,1.4,3.0,1.7,1.1,2.7,0.7,2.5,1.5,2.1,1.9,1.0,1.0,3.0,2.6,0.8,2.1,2.3,2.6,2.4,0.8,0.5,2.3,0.3,1.3,2.7,1.2,0.9,1.1,0.7,1.3,2.4,2.7,1.6,0,3.7,1.8,1.9,5.8,0.8
Settlers' Park,2.5,1.6,0.8,1.6,4.7,1.2,3.1,1.2,6.0,1.5,1.8,3.1,2.6,0.4,1.5,4.6,2.0,2.1,1.7,2.4,3.3,3.1,2.8,3.4,2.1,1.8,3.4,4.3,2.0,2.0,2.4,1.3,3.1,4.1,3.6,0,3.6,3.3,10.5,2.5
630 30th St.,1.3,2.8,3.0,2.7,3.4,2.7,1.9,2.5,4.7,3.2,1.9,1.5,1.9,3.0,2.6,3.3,3.7,1.3,1.7,4.2,1.5,1.6,0.9,1.9,2.2,1.7,1.5,2.4,2.7,2.2,1.3,2.4,1.1,2.4,1.8,3.7,0,0.9,9.2,3.9
35th & Colorado,0.9,2.4,2.6,2.3,2.1,2.3,1.6,2.1,3.4,2.8,1.5,1.1,1.5,2.6,2.2,2.0,3.4,1.9,2.2,3.8,1.2,1.2,1.3,1.5,1.8,2.3,1.8,2.1,2.3,1.8,0.9,2.0,1.9,1.5,1.5,3.3,0.9,0,7.9,2.6
Gunbarrel North,7.3,8.3,8.6,8.3,5.2,8.2,6.8,8.0,4.8,8.0,7.4,7.1,7.4,8.5,8.1,6.0,7.4,7.8,8.2,7.2,6.4,6.7,7.8,6.7,7.8,8.3,6.4,6.3,7.8,7.4,6.8,7.9,8.8,5.8,6.1,9.2,7.9,6.6,0,6.6
28th & Mapleton,1.5,1.3,1.6,1.6,1.2,2.4,0.5,2.2,1.7,1.6,1.6,1.1,1.0,2.7,1.5,0.8,1.6,2.1,2.4,1.9,1.1,0.6,2.2,0.6,1.3,2.5,1.5,0.9,1.0,0.6,1.4,2.1,2.5,2.1,0.7,3.4,2.2,1.8,6.0,0
